Region,Reference,Study,Year,Country,Population,Age,Age range,HIV status,STI,Sex
SA,Gray 2021,HVTN702,2018,South Africa,HIV/STI prevention trial participants,Adult,18 to 35,HIV negative,"CT, NG",Male
SA,Gray 2021,HVTN702,2018,South Africa,HIV/STI prevention trial participants,Adult,18 to 35,HIV negative,"CT, NG, TV",Female
SA,Joseph Davey 2019,,2018,South Africa,ANC attendees,Adult,18+,Mixed,"CT, NG, TV",Female
SA,Naicker 2021,,2018,South Africa,ANC attendees,Adult,18+,Mixed,TV,Female
SA,Price 2024,,2018,South Africa,Community members,Youth,12 to 19,HIV negative,"CT, NG","Female, Male"
SA,Taku 2021,,2018,South Africa,PHC/OPD attendees,Adult,30+,Mixed,"CT, NG, TV",Female
SA,Celum 2022,POWER,2019,South Africa,FP attendees,Youth,16 to 25,HIV negative,"CT, NG",Female
SA,Chetty 2020,,2019,South Africa,ANC attendees,Adult,18+,Mixed,TV,Female
SA,Oree 2021,,2019,South Africa,ANC attendees,Adult,20 to 40,Mixed,NG,Female
SA,de Voux 2023,,2020,South Africa,ANC attendees,Adult,16+,HIV negative,"CT, NG, TV",Female
SA,Mabaso 2022,,2020,South Africa,ANC attendees,Adult,18+,Mixed,CT,Female
SA,Nair 2023,MTN-034/REACH,2020,South Africa,HIV/STI prevention trial participants,Youth,16 to 21,HIV negative,"CT, NG, TV",Female
SA,Jarolimova 2023,AHRI HDSS,2021,South Africa,Population-representative survey participants,Youth,16 to 29,Mixed,"CT, NG, TV","Female, Male"
SA,Mullick 2023,Project PrEP STI substudy,2021,South Africa,PHC/OPD attendees,Youth,15 to 24,HIV negative,"CT, NG, TV","Female, Male"
SA,Mussa 2023,Maduo,2022,Botswana,ANC attendees,Adult,15+,Mixed,"CT, NG",Female
SA,de Voux 2024,STI and PrEP in Pregnancy Study,2022,South Africa,ANC attendees,Adult,18+,Mixed,"CT, NG, TV",Female
Multiple,Delany-Moretlwe 2022,HPTN084,2019,"Botswana, Eswatini, Kenya, Malawi, South Africa, Uganda, Zimbabwe",HIV/STI prevention trial participants,Adult,18 to 45,HIV negative,"CT, NG, TV",Female
